NAV Date,NAV (Rs)
08-04-2022,78.92
07-04-2022,78.32
06-04-2022,78.74
05-04-2022,78.78
04-04-2022,78.51
01-04-2022,77.47
31-03-2022,76.67
30-03-2022,76.57
29-03-2022,75.99
28-03-2022,75.41
25-03-2022,75.18
24-03-2022,75.47
23-03-2022,75.44
22-03-2022,75.61
21-03-2022,75.02
17-03-2022,75.58
16-03-2022,74.75
15-03-2022,73.38
14-03-2022,73.97
11-03-2022,73.12
10-03-2022,72.9
09-03-2022,72
08-03-2022,70.52
07-03-2022,69.49
04-03-2022,71.18
03-03-2022,72.31
02-03-2022,73.01
28-02-2022,73.72
